,Year,District Name,Age,Immigrants
0,2017,Ciutat Vella,0-4,154
1,2017,Ciutat Vella,0-4,58
2,2017,Ciutat Vella,0-4,38
3,2017,Ciutat Vella,0-4,56
4,2017,Eixample,0-4,79
5,2017,Eixample,0-4,111
6,2017,Eixample,0-4,121
7,2017,Eixample,0-4,97
8,2017,Eixample,0-4,123
9,2017,Eixample,0-4,57
10,2017,Sants-Montjuïc,0-4,80
11,2017,Sants-Montjuïc,0-4,1
12,2017,Sants-Montjuïc,0-4,71
13,2017,Sants-Montjuïc,0-4,14
14,2017,Sants-Montjuïc,0-4,31
15,2017,Sants-Montjuïc,0-4,33
16,2017,Sants-Montjuïc,0-4,49
17,2017,Sants-Montjuïc,0-4,106
18,2017,Les Corts,0-4,103
19,2017,Les Corts,0-4,81
20,2017,Les Corts,0-4,36
21,2017,Sarrià-Sant Gervasi,0-4,20
22,2017,Sarrià-Sant Gervasi,0-4,87
23,2017,Sarrià-Sant Gervasi,0-4,72
24,2017,Sarrià-Sant Gervasi,0-4,59
25,2017,Sarrià-Sant Gervasi,0-4,141
26,2017,Sarrià-Sant Gervasi,0-4,74
27,2017,Gràcia,0-4,37
28,2017,Gràcia,0-4,18
29,2017,Gràcia,0-4,41
30,2017,Gràcia,0-4,88
31,2017,Gràcia,0-4,73
32,2017,Horta-Guinardó,0-4,48
33,2017,Horta-Guinardó,0-4,16
34,2017,Horta-Guinardó,0-4,72
35,2017,Horta-Guinardó,0-4,14
36,2017,Horta-Guinardó,0-4,66
37,2017,Horta-Guinardó,0-4,15
38,2017,Horta-Guinardó,0-4,15
39,2017,Horta-Guinardó,0-4,11
40,2017,Horta-Guinardó,0-4,11
41,2017,Horta-Guinardó,0-4,1
42,2017,Horta-Guinardó,0-4,50
43,2017,Nou Barris,0-4,51
44,2017,Nou Barris,0-4,66
45,2017,Nou Barris,0-4,64
46,2017,Nou Barris,0-4,3
47,2017,Nou Barris,0-4,23
48,2017,Nou Barris,0-4,6
49,2017,Nou Barris,0-4,57
50,2017,Nou Barris,0-4,33
51,2017,Nou Barris,0-4,56
52,2017,Nou Barris,0-4,22
53,2017,Nou Barris,0-4,5
54,2017,Nou Barris,0-4,47
55,2017,Nou Barris,0-4,5
56,2017,Sant Andreu,0-4,40
57,2017,Sant Andreu,0-4,5
58,2017,Sant Andreu,0-4,31
