,Year,District Name,Nationality,Number
0,2017,Ciutat Vella,Spain,1109
1,2017,Ciutat Vella,Spain,482
2,2017,Ciutat Vella,Spain,414
3,2017,Ciutat Vella,Spain,537
4,2017,Eixample,Spain,663
5,2017,Eixample,Spain,1181
6,2017,Eixample,Spain,1063
7,2017,Eixample,Spain,1177
8,2017,Eixample,Spain,1593
9,2017,Eixample,Spain,883
10,2017,Sants-Montjuïc,Spain,826
11,2017,Sants-Montjuïc,Spain,23
12,2017,Sants-Montjuïc,Spain,574
13,2017,Sants-Montjuïc,Spain,264
14,2017,Sants-Montjuïc,Spain,410
15,2017,Sants-Montjuïc,Spain,434
16,2017,Sants-Montjuïc,Spain,605
17,2017,Sants-Montjuïc,Spain,1083
18,2017,Les Corts,Spain,1027
19,2017,Les Corts,Spain,630
20,2017,Les Corts,Spain,298
21,2017,Sarrià-Sant Gervasi,Spain,91
22,2017,Sarrià-Sant Gervasi,Spain,541
23,2017,Sarrià-Sant Gervasi,Spain,363
24,2017,Sarrià-Sant Gervasi,Spain,587
25,2017,Sarrià-Sant Gervasi,Spain,1146
26,2017,Sarrià-Sant Gervasi,Spain,697
27,2017,Gràcia,Spain,347
28,2017,Gràcia,Spain,171
29,2017,Gràcia,Spain,283
30,2017,Gràcia,Spain,1415
31,2017,Gràcia,Spain,728
32,2017,Horta-Guinardó,Spain,526
33,2017,Horta-Guinardó,Spain,228
34,2017,Horta-Guinardó,Spain,782
35,2017,Horta-Guinardó,Spain,157
36,2017,Horta-Guinardó,Spain,524
37,2017,Horta-Guinardó,Spain,203
38,2017,Horta-Guinardó,Spain,152
39,2017,Horta-Guinardó,Spain,118
40,2017,Horta-Guinardó,Spain,86
41,2017,Horta-Guinardó,Spain,16
42,2017,Horta-Guinardó,Spain,463
43,2017,Nou Barris,Spain,431
44,2017,Nou Barris,Spain,501
45,2017,Nou Barris,Spain,314
46,2017,Nou Barris,Spain,33
47,2017,Nou Barris,Spain,265
48,2017,Nou Barris,Spain,100
49,2017,Nou Barris,Spain,287
50,2017,Nou Barris,Spain,207
51,2017,Nou Barris,Spain,441
52,2017,Nou Barris,Spain,138
53,2017,Nou Barris,Spain,36
54,2017,Nou Barris,Spain,224
55,2017,Nou Barris,Spain,36
56,2017,Sant Andreu,Spain,174
57,2017,Sant Andreu,Spain,48
58,2017,Sant Andreu,Spain,240
59,2017,Sant Andreu,Spain,1042
60,2017,Sant Andreu,Spain,575
61,2017,Sant Andreu,Spain,243
62,2017,Sant Andreu,Spain,391
63,2017,Sant Martí,Spain,858
64,2017,Sant Martí,Spain,510
65,2017,Sant Martí,Spain,302
66,2017,Sant Martí,Spain,178
67,2017,Sant Martí,Spain,666
68,2017,Sant Martí,Spain,257
69,2017,Sant Martí,Spain,538
70,2017,Sant Martí,Spain,441
71,2017,Sant Martí,Spain,462
72,2017,Sant Martí,Spain,514
73,2017,No consta,Spain,2
74,2017,Ciutat Vella,Italy,360
75,2017,Ciutat Vella,Italy,275
76,2017,Ciutat Vella,Italy,285
77,2017,Ciutat Vella,Italy,355
78,2017,Eixample,Italy,207
79,2017,Eixample,Italy,295
80,2017,Eixample,Italy,284
81,2017,Eixample,Italy,280
82,2017,Eixample,Italy,314
83,2017,Eixample,Italy,188
84,2017,Sants-Montjuïc,Italy,270
85,2017,Sants-Montjuïc,Italy,0
86,2017,Sants-Montjuïc,Italy,45
87,2017,Sants-Montjuïc,Italy,42
88,2017,Sants-Montjuïc,Italy,72
89,2017,Sants-Montjuïc,Italy,44
90,2017,Sants-Montjuïc,Italy,56
91,2017,Sants-Montjuïc,Italy,155
92,2017,Les Corts,Italy,130
93,2017,Les Corts,Italy,52
94,2017,Les Corts,Italy,23
95,2017,Sarrià-Sant Gervasi,Italy,12
96,2017,Sarrià-Sant Gervasi,Italy,77
97,2017,Sarrià-Sant Gervasi,Italy,26
98,2017,Sarrià-Sant Gervasi,Italy,49
99,2017,Sarrià-Sant Gervasi,Italy,135
100,2017,Sarrià-Sant Gervasi,Italy,97
101,2017,Gràcia,Italy,42
102,2017,Gràcia,Italy,27
103,2017,Gràcia,Italy,50
104,2017,Gràcia,Italy,326
105,2017,Gràcia,Italy,153
106,2017,Horta-Guinardó,Italy,98
107,2017,Horta-Guinardó,Italy,27
108,2017,Horta-Guinardó,Italy,97
109,2017,Horta-Guinardó,Italy,18
110,2017,Horta-Guinardó,Italy,68
111,2017,Horta-Guinardó,Italy,24
112,2017,Horta-Guinardó,Italy,8
113,2017,Horta-Guinardó,Italy,18
114,2017,Horta-Guinardó,Italy,11
115,2017,Horta-Guinardó,Italy,3
116,2017,Horta-Guinardó,Italy,41
117,2017,Nou Barris,Italy,32
118,2017,Nou Barris,Italy,33
119,2017,Nou Barris,Italy,13
120,2017,Nou Barris,Italy,0
121,2017,Nou Barris,Italy,4
122,2017,Nou Barris,Italy,1
123,2017,Nou Barris,Italy,15
124,2017,Nou Barris,Italy,12
125,2017,Nou Barris,Italy,16
126,2017,Nou Barris,Italy,12
127,2017,Nou Barris,Italy,0
128,2017,Nou Barris,Italy,7
129,2017,Nou Barris,Italy,1
130,2017,Sant Andreu,Italy,10
131,2017,Sant Andreu,Italy,2
132,2017,Sant Andreu,Italy,14
133,2017,Sant Andreu,Italy,76
134,2017,Sant Andreu,Italy,51
135,2017,Sant Andreu,Italy,22
136,2017,Sant Andreu,Italy,51
137,2017,Sant Martí,Italy,181
138,2017,Sant Martí,Italy,93
139,2017,Sant Martí,Italy,87
140,2017,Sant Martí,Italy,22
141,2017,Sant Martí,Italy,156
142,2017,Sant Martí,Italy,56
143,2017,Sant Martí,Italy,49
144,2017,Sant Martí,Italy,47
145,2017,Sant Martí,Italy,50
146,2017,Sant Martí,Italy,57
147,2017,No consta,Italy,0
148,2017,Ciutat Vella,China,64
149,2017,Ciutat Vella,China,29
150,2017,Ciutat Vella,China,8
151,2017,Ciutat Vella,China,33
152,2017,Eixample,China,195
153,2017,Eixample,China,210
154,2017,Eixample,China,92
155,2017,Eixample,China,105
156,2017,Eixample,China,200
157,2017,Eixample,China,116
158,2017,Sants-Montjuïc,China,75
159,2017,Sants-Montjuïc,China,2
160,2017,Sants-Montjuïc,China,166
161,2017,Sants-Montjuïc,China,23
162,2017,Sants-Montjuïc,China,47
163,2017,Sants-Montjuïc,China,25
164,2017,Sants-Montjuïc,China,75
165,2017,Sants-Montjuïc,China,99
166,2017,Les Corts,China,78
167,2017,Les Corts,China,40
168,2017,Les Corts,China,19
169,2017,Sarrià-Sant Gervasi,China,1
170,2017,Sarrià-Sant Gervasi,China,27
171,2017,Sarrià-Sant Gervasi,China,7
172,2017,Sarrià-Sant Gervasi,China,53
173,2017,Sarrià-Sant Gervasi,China,45
174,2017,Sarrià-Sant Gervasi,China,30
175,2017,Gràcia,China,13
176,2017,Gràcia,China,0
177,2017,Gràcia,China,18
178,2017,Gràcia,China,74
179,2017,Gràcia,China,35
180,2017,Horta-Guinardó,China,44
181,2017,Horta-Guinardó,China,8
182,2017,Horta-Guinardó,China,43
183,2017,Horta-Guinardó,China,2
184,2017,Horta-Guinardó,China,24
185,2017,Horta-Guinardó,China,6
186,2017,Horta-Guinardó,China,9
187,2017,Horta-Guinardó,China,4
188,2017,Horta-Guinardó,China,4
189,2017,Horta-Guinardó,China,0
190,2017,Horta-Guinardó,China,29
191,2017,Nou Barris,China,71
192,2017,Nou Barris,China,38
193,2017,Nou Barris,China,24
194,2017,Nou Barris,China,0
195,2017,Nou Barris,China,9
196,2017,Nou Barris,China,0
197,2017,Nou Barris,China,37
198,2017,Nou Barris,China,26
199,2017,Nou Barris,China,37
200,2017,Nou Barris,China,3
201,2017,Nou Barris,China,1
202,2017,Nou Barris,China,19
203,2017,Nou Barris,China,1
204,2017,Sant Andreu,China,10
205,2017,Sant Andreu,China,3
206,2017,Sant Andreu,China,15
207,2017,Sant Andreu,China,67
208,2017,Sant Andreu,China,75
209,2017,Sant Andreu,China,27
210,2017,Sant Andreu,China,53
211,2017,Sant Martí,China,121
212,2017,Sant Martí,China,78
213,2017,Sant Martí,China,52
214,2017,Sant Martí,China,5
215,2017,Sant Martí,China,27
216,2017,Sant Martí,China,29
217,2017,Sant Martí,China,59
218,2017,Sant Martí,China,27
219,2017,Sant Martí,China,110
220,2017,Sant Martí,China,98
221,2017,No consta,China,0
222,2017,Ciutat Vella,Colombia,104
223,2017,Ciutat Vella,Colombia,53
224,2017,Ciutat Vella,Colombia,48
225,2017,Ciutat Vella,Colombia,64
226,2017,Eixample,Colombia,82
227,2017,Eixample,Colombia,155
228,2017,Eixample,Colombia,101
229,2017,Eixample,Colombia,163
230,2017,Eixample,Colombia,174
231,2017,Eixample,Colombia,106
232,2017,Sants-Montjuïc,Colombia,95
233,2017,Sants-Montjuïc,Colombia,1
234,2017,Sants-Montjuïc,Colombia,80
235,2017,Sants-Montjuïc,Colombia,25
236,2017,Sants-Montjuïc,Colombia,44
237,2017,Sants-Montjuïc,Colombia,32
238,2017,Sants-Montjuïc,Colombia,59
239,2017,Sants-Montjuïc,Colombia,95
240,2017,Les Corts,Colombia,65
241,2017,Les Corts,Colombia,50
242,2017,Les Corts,Colombia,18
243,2017,Sarrià-Sant Gervasi,Colombia,0
244,2017,Sarrià-Sant Gervasi,Colombia,20
245,2017,Sarrià-Sant Gervasi,Colombia,10
246,2017,Sarrià-Sant Gervasi,Colombia,12
247,2017,Sarrià-Sant Gervasi,Colombia,48
248,2017,Sarrià-Sant Gervasi,Colombia,38
249,2017,Gràcia,Colombia,20
250,2017,Gràcia,Colombia,14
251,2017,Gràcia,Colombia,13
252,2017,Gràcia,Colombia,99
253,2017,Gràcia,Colombia,54
254,2017,Horta-Guinardó,Colombia,48
255,2017,Horta-Guinardó,Colombia,18
256,2017,Horta-Guinardó,Colombia,88
257,2017,Horta-Guinardó,Colombia,7
258,2017,Horta-Guinardó,Colombia,65
259,2017,Horta-Guinardó,Colombia,10
260,2017,Horta-Guinardó,Colombia,10
261,2017,Horta-Guinardó,Colombia,11
262,2017,Horta-Guinardó,Colombia,12
263,2017,Horta-Guinardó,Colombia,2
264,2017,Horta-Guinardó,Colombia,49
265,2017,Nou Barris,Colombia,61
266,2017,Nou Barris,Colombia,78
267,2017,Nou Barris,Colombia,48
268,2017,Nou Barris,Colombia,2
269,2017,Nou Barris,Colombia,23
270,2017,Nou Barris,Colombia,2
271,2017,Nou Barris,Colombia,22
272,2017,Nou Barris,Colombia,21
273,2017,Nou Barris,Colombia,45
274,2017,Nou Barris,Colombia,21
275,2017,Nou Barris,Colombia,3
276,2017,Nou Barris,Colombia,22
277,2017,Nou Barris,Colombia,0
278,2017,Sant Andreu,Colombia,30
279,2017,Sant Andreu,Colombia,6
280,2017,Sant Andreu,Colombia,31
281,2017,Sant Andreu,Colombia,79
282,2017,Sant Andreu,Colombia,63
283,2017,Sant Andreu,Colombia,44
284,2017,Sant Andreu,Colombia,17
285,2017,Sant Martí,Colombia,91
286,2017,Sant Martí,Colombia,64
287,2017,Sant Martí,Colombia,17
288,2017,Sant Martí,Colombia,4
289,2017,Sant Martí,Colombia,43
290,2017,Sant Martí,Colombia,22
291,2017,Sant Martí,Colombia,41
292,2017,Sant Martí,Colombia,23
293,2017,Sant Martí,Colombia,38
294,2017,Sant Martí,Colombia,32
295,2017,No consta,Colombia,0
296,2017,Ciutat Vella,Venezuela,106
297,2017,Ciutat Vella,Venezuela,52
298,2017,Ciutat Vella,Venezuela,47
299,2017,Ciutat Vella,Venezuela,61
300,2017,Eixample,Venezuela,80
301,2017,Eixample,Venezuela,225
302,2017,Eixample,Venezuela,84
303,2017,Eixample,Venezuela,135
304,2017,Eixample,Venezuela,129
305,2017,Eixample,Venezuela,71
306,2017,Sants-Montjuïc,Venezuela,63
307,2017,Sants-Montjuïc,Venezuela,1
308,2017,Sants-Montjuïc,Venezuela,42
309,2017,Sants-Montjuïc,Venezuela,28
310,2017,Sants-Montjuïc,Venezuela,27
311,2017,Sants-Montjuïc,Venezuela,37
312,2017,Sants-Montjuïc,Venezuela,51
313,2017,Sants-Montjuïc,Venezuela,85
314,2017,Les Corts,Venezuela,94
315,2017,Les Corts,Venezuela,67
316,2017,Les Corts,Venezuela,17
317,2017,Sarrià-Sant Gervasi,Venezuela,2
318,2017,Sarrià-Sant Gervasi,Venezuela,30
319,2017,Sarrià-Sant Gervasi,Venezuela,6
320,2017,Sarrià-Sant Gervasi,Venezuela,35
321,2017,Sarrià-Sant Gervasi,Venezuela,69
322,2017,Sarrià-Sant Gervasi,Venezuela,73
323,2017,Gràcia,Venezuela,32
324,2017,Gràcia,Venezuela,11
325,2017,Gràcia,Venezuela,28
326,2017,Gràcia,Venezuela,72
327,2017,Gràcia,Venezuela,46
328,2017,Horta-Guinardó,Venezuela,60
329,2017,Horta-Guinardó,Venezuela,18
330,2017,Horta-Guinardó,Venezuela,82
331,2017,Horta-Guinardó,Venezuela,4
332,2017,Horta-Guinardó,Venezuela,77
333,2017,Horta-Guinardó,Venezuela,26
334,2017,Horta-Guinardó,Venezuela,22
335,2017,Horta-Guinardó,Venezuela,11
336,2017,Horta-Guinardó,Venezuela,12
337,2017,Horta-Guinardó,Venezuela,0
338,2017,Horta-Guinardó,Venezuela,28
339,2017,Nou Barris,Venezuela,40
340,2017,Nou Barris,Venezuela,41
341,2017,Nou Barris,Venezuela,15
342,2017,Nou Barris,Venezuela,0
343,2017,Nou Barris,Venezuela,10
344,2017,Nou Barris,Venezuela,1
345,2017,Nou Barris,Venezuela,22
346,2017,Nou Barris,Venezuela,30
347,2017,Nou Barris,Venezuela,28
348,2017,Nou Barris,Venezuela,18
349,2017,Nou Barris,Venezuela,9
350,2017,Nou Barris,Venezuela,12
351,2017,Nou Barris,Venezuela,2
352,2017,Sant Andreu,Venezuela,16
353,2017,Sant Andreu,Venezuela,2
354,2017,Sant Andreu,Venezuela,16
355,2017,Sant Andreu,Venezuela,78
356,2017,Sant Andreu,Venezuela,34
357,2017,Sant Andreu,Venezuela,21
358,2017,Sant Andreu,Venezuela,25
359,2017,Sant Martí,Venezuela,88
360,2017,Sant Martí,Venezuela,43
361,2017,Sant Martí,Venezuela,28
362,2017,Sant Martí,Venezuela,5
363,2017,Sant Martí,Venezuela,35
364,2017,Sant Martí,Venezuela,15
365,2017,Sant Martí,Venezuela,37
366,2017,Sant Martí,Venezuela,29
367,2017,Sant Martí,Venezuela,41
368,2017,Sant Martí,Venezuela,34
369,2017,No consta,Venezuela,0
370,2017,Ciutat Vella,Pakistan,605
371,2017,Ciutat Vella,Pakistan,262
372,2017,Ciutat Vella,Pakistan,81
373,2017,Ciutat Vella,Pakistan,50
374,2017,Eixample,Pakistan,32
375,2017,Eixample,Pakistan,23
376,2017,Eixample,Pakistan,9
377,2017,Eixample,Pakistan,25
378,2017,Eixample,Pakistan,32
379,2017,Eixample,Pakistan,69
380,2017,Sants-Montjuïc,Pakistan,198
381,2017,Sants-Montjuïc,Pakistan,0
382,2017,Sants-Montjuïc,Pakistan,45
383,2017,Sants-Montjuïc,Pakistan,21
384,2017,Sants-Montjuïc,Pakistan,35
385,2017,Sants-Montjuïc,Pakistan,23
386,2017,Sants-Montjuïc,Pakistan,26
387,2017,Sants-Montjuïc,Pakistan,74
388,2017,Les Corts,Pakistan,18
389,2017,Les Corts,Pakistan,9
390,2017,Les Corts,Pakistan,0
391,2017,Sarrià-Sant Gervasi,Pakistan,0
392,2017,Sarrià-Sant Gervasi,Pakistan,4
393,2017,Sarrià-Sant Gervasi,Pakistan,1
394,2017,Sarrià-Sant Gervasi,Pakistan,2
395,2017,Sarrià-Sant Gervasi,Pakistan,12
396,2017,Sarrià-Sant Gervasi,Pakistan,3
397,2017,Gràcia,Pakistan,12
398,2017,Gràcia,Pakistan,9
399,2017,Gràcia,Pakistan,19
400,2017,Gràcia,Pakistan,39
401,2017,Gràcia,Pakistan,15
402,2017,Horta-Guinardó,Pakistan,19
403,2017,Horta-Guinardó,Pakistan,2
404,2017,Horta-Guinardó,Pakistan,27
405,2017,Horta-Guinardó,Pakistan,0
406,2017,Horta-Guinardó,Pakistan,28
407,2017,Horta-Guinardó,Pakistan,13
408,2017,Horta-Guinardó,Pakistan,10
409,2017,Horta-Guinardó,Pakistan,3
410,2017,Horta-Guinardó,Pakistan,0
411,2017,Horta-Guinardó,Pakistan,0
412,2017,Horta-Guinardó,Pakistan,20
413,2017,Nou Barris,Pakistan,21
414,2017,Nou Barris,Pakistan,25
415,2017,Nou Barris,Pakistan,33
416,2017,Nou Barris,Pakistan,0
417,2017,Nou Barris,Pakistan,2
418,2017,Nou Barris,Pakistan,1
419,2017,Nou Barris,Pakistan,28
420,2017,Nou Barris,Pakistan,11
421,2017,Nou Barris,Pakistan,33
422,2017,Nou Barris,Pakistan,29
423,2017,Nou Barris,Pakistan,2
424,2017,Nou Barris,Pakistan,62
425,2017,Nou Barris,Pakistan,9
426,2017,Sant Andreu,Pakistan,103
427,2017,Sant Andreu,Pakistan,2
428,2017,Sant Andreu,Pakistan,38
429,2017,Sant Andreu,Pakistan,33
430,2017,Sant Andreu,Pakistan,13
431,2017,Sant Andreu,Pakistan,4
432,2017,Sant Andreu,Pakistan,14
433,2017,Sant Martí,Pakistan,46
434,2017,Sant Martí,Pakistan,19
435,2017,Sant Martí,Pakistan,15
436,2017,Sant Martí,Pakistan,3
437,2017,Sant Martí,Pakistan,47
438,2017,Sant Martí,Pakistan,10
439,2017,Sant Martí,Pakistan,411
440,2017,Sant Martí,Pakistan,17
441,2017,Sant Martí,Pakistan,10
442,2017,Sant Martí,Pakistan,51
443,2017,No consta,Pakistan,0
444,2017,Ciutat Vella,Honduras,39
445,2017,Ciutat Vella,Honduras,28
446,2017,Ciutat Vella,Honduras,3
447,2017,Ciutat Vella,Honduras,32
448,2017,Eixample,Honduras,29
449,2017,Eixample,Honduras,53
450,2017,Eixample,Honduras,32
451,2017,Eixample,Honduras,42
452,2017,Eixample,Honduras,45
453,2017,Eixample,Honduras,16
454,2017,Sants-Montjuïc,Honduras,31
455,2017,Sants-Montjuïc,Honduras,0
456,2017,Sants-Montjuïc,Honduras,76
457,2017,Sants-Montjuïc,Honduras,3
458,2017,Sants-Montjuïc,Honduras,20
459,2017,Sants-Montjuïc,Honduras,11
460,2017,Sants-Montjuïc,Honduras,39
461,2017,Sants-Montjuïc,Honduras,81
462,2017,Les Corts,Honduras,35
463,2017,Les Corts,Honduras,16
464,2017,Les Corts,Honduras,8
465,2017,Sarrià-Sant Gervasi,Honduras,2
466,2017,Sarrià-Sant Gervasi,Honduras,17
467,2017,Sarrià-Sant Gervasi,Honduras,6
468,2017,Sarrià-Sant Gervasi,Honduras,18
469,2017,Sarrià-Sant Gervasi,Honduras,31
470,2017,Sarrià-Sant Gervasi,Honduras,13
471,2017,Gràcia,Honduras,12
472,2017,Gràcia,Honduras,23
473,2017,Gràcia,Honduras,6
474,2017,Gràcia,Honduras,31
475,2017,Gràcia,Honduras,32
476,2017,Horta-Guinardó,Honduras,22
477,2017,Horta-Guinardó,Honduras,15
478,2017,Horta-Guinardó,Honduras,95
479,2017,Horta-Guinardó,Honduras,17
480,2017,Horta-Guinardó,Honduras,88
481,2017,Horta-Guinardó,Honduras,23
482,2017,Horta-Guinardó,Honduras,23
483,2017,Horta-Guinardó,Honduras,8
484,2017,Horta-Guinardó,Honduras,2
485,2017,Horta-Guinardó,Honduras,1
486,2017,Horta-Guinardó,Honduras,71
487,2017,Nou Barris,Honduras,54
488,2017,Nou Barris,Honduras,184
489,2017,Nou Barris,Honduras,50
490,2017,Nou Barris,Honduras,4
491,2017,Nou Barris,Honduras,35
492,2017,Nou Barris,Honduras,2
493,2017,Nou Barris,Honduras,217
494,2017,Nou Barris,Honduras,125
495,2017,Nou Barris,Honduras,193
496,2017,Nou Barris,Honduras,57
497,2017,Nou Barris,Honduras,5
498,2017,Nou Barris,Honduras,163
499,2017,Nou Barris,Honduras,2
500,2017,Sant Andreu,Honduras,33
501,2017,Sant Andreu,Honduras,5
502,2017,Sant Andreu,Honduras,55
503,2017,Sant Andreu,Honduras,47
504,2017,Sant Andreu,Honduras,40
505,2017,Sant Andreu,Honduras,25
506,2017,Sant Andreu,Honduras,29
507,2017,Sant Martí,Honduras,32
508,2017,Sant Martí,Honduras,26
509,2017,Sant Martí,Honduras,5
510,2017,Sant Martí,Honduras,2
511,2017,Sant Martí,Honduras,12
512,2017,Sant Martí,Honduras,6
513,2017,Sant Martí,Honduras,86
514,2017,Sant Martí,Honduras,13
515,2017,Sant Martí,Honduras,25
516,2017,Sant Martí,Honduras,40
517,2017,No consta,Honduras,0
518,2017,Ciutat Vella,France,209
519,2017,Ciutat Vella,France,147
520,2017,Ciutat Vella,France,83
521,2017,Ciutat Vella,France,157
522,2017,Eixample,France,82
523,2017,Eixample,France,82
524,2017,Eixample,France,202
525,2017,Eixample,France,125
526,2017,Eixample,France,98
527,2017,Eixample,France,76
528,2017,Sants-Montjuïc,France,94
529,2017,Sants-Montjuïc,France,0
530,2017,Sants-Montjuïc,France,12
531,2017,Sants-Montjuïc,France,8
532,2017,Sants-Montjuïc,France,20
533,2017,Sants-Montjuïc,France,16
534,2017,Sants-Montjuïc,France,22
535,2017,Sants-Montjuïc,France,70
536,2017,Les Corts,France,40
537,2017,Les Corts,France,17
538,2017,Les Corts,France,49
539,2017,Sarrià-Sant Gervasi,France,17
