,Year,District Name,Gender,Immigrants
0,2017,Ciutat Vella,Male,3063
1,2017,Ciutat Vella,Male,1499
2,2017,Ciutat Vella,Male,910
3,2017,Ciutat Vella,Male,1438
4,2017,Eixample,Male,1082
5,2017,Eixample,Male,1693
6,2017,Eixample,Male,1543
7,2017,Eixample,Male,1693
8,2017,Eixample,Male,1927
9,2017,Eixample,Male,1253
10,2017,Sants-Montjuïc,Male,1595
11,2017,Sants-Montjuïc,Male,17
12,2017,Sants-Montjuïc,Male,724
13,2017,Sants-Montjuïc,Male,351
14,2017,Sants-Montjuïc,Male,584
15,2017,Sants-Montjuïc,Male,471
16,2017,Sants-Montjuïc,Male,703
17,2017,Sants-Montjuïc,Male,1407
18,2017,Les Corts,Male,1054
19,2017,Les Corts,Male,608
20,2017,Les Corts,Male,367
21,2017,Sarrià-Sant Gervasi,Male,89
22,2017,Sarrià-Sant Gervasi,Male,606
23,2017,Sarrià-Sant Gervasi,Male,337
24,2017,Sarrià-Sant Gervasi,Male,531
25,2017,Sarrià-Sant Gervasi,Male,1092
26,2017,Sarrià-Sant Gervasi,Male,733
27,2017,Gràcia,Male,355
28,2017,Gràcia,Male,166
29,2017,Gràcia,Male,382
30,2017,Gràcia,Male,1623
31,2017,Gràcia,Male,833
32,2017,Horta-Guinardó,Male,620
33,2017,Horta-Guinardó,Male,240
34,2017,Horta-Guinardó,Male,874
35,2017,Horta-Guinardó,Male,121
36,2017,Horta-Guinardó,Male,671
37,2017,Horta-Guinardó,Male,246
38,2017,Horta-Guinardó,Male,213
39,2017,Horta-Guinardó,Male,129
40,2017,Horta-Guinardó,Male,92
41,2017,Horta-Guinardó,Male,18
42,2017,Horta-Guinardó,Male,521
43,2017,Nou Barris,Male,509
44,2017,Nou Barris,Male,647
45,2017,Nou Barris,Male,409
46,2017,Nou Barris,Male,26
47,2017,Nou Barris,Male,218
48,2017,Nou Barris,Male,62
49,2017,Nou Barris,Male,413
50,2017,Nou Barris,Male,305
51,2017,Nou Barris,Male,571
52,2017,Nou Barris,Male,221
53,2017,Nou Barris,Male,53
54,2017,Nou Barris,Male,409
55,2017,Nou Barris,Male,31
56,2017,Sant Andreu,Male,368
57,2017,Sant Andreu,Male,47
58,2017,Sant Andreu,Male,307
59,2017,Sant Andreu,Male,939
60,2017,Sant Andreu,Male,643
61,2017,Sant Andreu,Male,297
62,2017,Sant Andreu,Male,501
63,2017,Sant Martí,Male,1075
64,2017,Sant Martí,Male,651
65,2017,Sant Martí,Male,490
66,2017,Sant Martí,Male,190
67,2017,Sant Martí,Male,874
68,2017,Sant Martí,Male,379
69,2017,Sant Martí,Male,1146
70,2017,Sant Martí,Male,469
71,2017,Sant Martí,Male,536
72,2017,Sant Martí,Male,602
73,2017,Ciutat Vella,Female,2337
74,2017,Ciutat Vella,Female,1188
75,2017,Ciutat Vella,Female,849
76,2017,Ciutat Vella,Female,1327
77,2017,Eixample,Female,1155
78,2017,Eixample,Female,1898
79,2017,Eixample,Female,1657
80,2017,Eixample,Female,1774
81,2017,Eixample,Female,2135
82,2017,Eixample,Female,1237
83,2017,Sants-Montjuïc,Female,1492
84,2017,Sants-Montjuïc,Female,15
85,2017,Sants-Montjuïc,Female,775
86,2017,Sants-Montjuïc,Female,295
87,2017,Sants-Montjuïc,Female,575
88,2017,Sants-Montjuïc,Female,474
89,2017,Sants-Montjuïc,Female,773
90,2017,Sants-Montjuïc,Female,1432
91,2017,Les Corts,Female,1222
92,2017,Les Corts,Female,727
93,2017,Les Corts,Female,397
94,2017,Sarrià-Sant Gervasi,Female,98
95,2017,Sarrià-Sant Gervasi,Female,602
96,2017,Sarrià-Sant Gervasi,Female,365
97,2017,Sarrià-Sant Gervasi,Female,650
98,2017,Sarrià-Sant Gervasi,Female,1342
99,2017,Sarrià-Sant Gervasi,Female,782
100,2017,Gràcia,Female,417
101,2017,Gràcia,Female,206
102,2017,Gràcia,Female,350
103,2017,Gràcia,Female,1964
104,2017,Gràcia,Female,958
105,2017,Horta-Guinardó,Female,665
106,2017,Horta-Guinardó,Female,233
107,2017,Horta-Guinardó,Female,963
108,2017,Horta-Guinardó,Female,162
109,2017,Horta-Guinardó,Female,743
110,2017,Horta-Guinardó,Female,266
111,2017,Horta-Guinardó,Female,173
112,2017,Horta-Guinardó,Female,127
113,2017,Horta-Guinardó,Female,95
114,2017,Horta-Guinardó,Female,21
115,2017,Horta-Guinardó,Female,606
116,2017,Nou Barris,Female,547
117,2017,Nou Barris,Female,751
118,2017,Nou Barris,Female,469
119,2017,Nou Barris,Female,31
120,2017,Nou Barris,Female,275
121,2017,Nou Barris,Female,78
122,2017,Nou Barris,Female,507
123,2017,Nou Barris,Female,361
124,2017,Nou Barris,Female,635
125,2017,Nou Barris,Female,237
126,2017,Nou Barris,Female,42
127,2017,Nou Barris,Female,429
128,2017,Nou Barris,Female,38
129,2017,Sant Andreu,Female,307
130,2017,Sant Andreu,Female,45
131,2017,Sant Andreu,Female,351
132,2017,Sant Andreu,Female,1026
133,2017,Sant Andreu,Female,711
134,2017,Sant Andreu,Female,306
135,2017,Sant Andreu,Female,487
136,2017,Sant Martí,Female,1126
137,2017,Sant Martí,Female,651
138,2017,Sant Martí,Female,469
139,2017,Sant Martí,Female,220
140,2017,Sant Martí,Female,891
141,2017,Sant Martí,Female,401
142,2017,Sant Martí,Female,870
143,2017,Sant Martí,Female,505
144,2017,Sant Martí,Female,537
145,2017,Sant Martí,Female,638
